Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
Moral.f,0.08434570989084023,1,0.7714923986489739,0.7752247752247752
Congruent.f,7.973482526596854,2,0.01856009815158366,0.014985014985014986
meta_d,0.4910221883928898,1,0.4834716836423436,0.4855144855144855
Female,0.015135224539335468,1,0.9020870633240341,0.9000999000999002
Age.z,0.8689012099821412,1,0.3512596798379627,0.3886113886113886
Moral.f:Congruent.f,17.464791048189,2,1.6127565339918437e-4,9.99000999000999e-4
Moral.f:meta_d,7.167804196937141,1,0.007422357162000903,0.006993006993006993
Congruent.f:meta_d,8.954413350107643,2,0.011365115316964602,0.013986013986013986
