Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
Moral.f,0.25968299204760115,1,0.6103380271531371,0.6203796203796204
Congruent.f,3.3098295428007987,2,0.19110834290782508,0.20679320679320679
meta_d,1.0488565342002403,1,0.30577058432966275,0.317
Female,3.3312357803097257,1,0.06797578232834778,0.07092907092907093
Age.z,0.4479922871414601,1,0.5032899303619839,0.4995004995004995
Moral.f:Congruent.f,14.81043332419722,2,6.080723647570174e-4,9.99000999000999e-4
Moral.f:meta_d,32.87092249878151,1,9.848538429224618e-9,9.99000999000999e-4
Congruent.f:meta_d,7.930158788032713,2,0.018966530723600994,0.02097902097902098
