Parameter,Chisq,Df,p
MC_z,2.9187275150697314,1,0.08755688583059235
Agree,0.1281598039634545,1,0.7203476992578041
Female,1.8807264313092655,1,0.1702516070524825
Age.z,22.28693307086845,1,2.347989299842282e-6
MC_z:Agree,0.0012121075665782906,1,0.9722269923064417
