Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
Moral.f,6.026953430071444,1,0.014089030113834888,0.016983016983016984
Congruent.f,11.350550490744354,2,0.0034297248304804295,0.007992007992007992
meta_d,0.01118661041255109,1,0.9157673996513181,0.9110889110889111
Female,0.29857147286202235,1,0.5847793679311406,0.6123876123876124
Age.z,0.2925473272407544,1,0.5885927484570193,0.5914085914085914
Moral.f:Congruent.f,1.433021977685712,2,0.4884535061263826,0.4905094905094905
Moral.f:meta_d,16.645678490087448,1,4.5052834645176176e-5,9.99000999000999e-4
Congruent.f:meta_d,7.028391940797519,2,0.029771730686257936,0.03296703296703297
