Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
Moral,3.2026177240768448,1,0.07352050550506128,0.07592407592407592
meta_d,1.142792897399886,1,0.28506294686189204,0.3026973026973027
Female,0.2288202586287298,1,0.632399971951614,0.6413586413586414
Age.z,5.037589181170006,1,0.02480298460114283,0.027
Moral:meta_d,14.806698652176237,1,1.1911165270839241e-4,9.99000999000999e-4
