Parameter,Coefficient,CI_low,CI_high,p,Std_Coefficient
(Intercept),1.8793034270018603,0.9779937298983787,2.780613124105342,4.375843228224557e-5,-0.01657246008534777
Moral.fNonmoral,0.21622828423434992,0.020437113600698803,0.41201945486800107,0.03042221404672465,0.0778481652204779
Agree.fDisagree,0.11558233986928165,-0.0792478712192069,0.3104125509577702,0.24493429121084728,0.04161284044118327
Female,-0.13216938354029226,-1.144176323363116,0.8798375562825315,0.7979710912653926,-0.023294509559371974
Age.z,-0.5208317396147617,-1.024139957163693,-0.01752352206583041,0.042539490301708935,-0.18525738086215113
Moral.fNonmoral:Agree.fDisagree,-0.47284587492443503,-0.7504473399967391,-0.19524440985213104,8.424470686579105e-4,-0.17023759831089283
