Parameter,Chisq,Df,p
MC_z,0.0031869280276922724,1,0.954981029344408
MajoritySupport,35.5162508394107,2,1.939742678340334e-8
meta_d,0.4714417018603222,1,0.49232466493513205
Female,0.8245203122416502,1,0.36386183903257735
Age.z,0.5809032990020349,1,0.4459584742345636
MC_z:MajoritySupport,10.32179741617946,2,0.005736541891720622
MC_z:meta_d,0.06867614363412468,1,0.7932741549918044
MajoritySupport:meta_d,6.9048924010027095,2,0.0316680750903511
