Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
PriorSupport_scale,1.4662088029544975,1,0.22594481309333725,0.23876123876123875
SocialSupport.f,5.154859978596505,2,0.07596899448055472,0.07892107892107893
ProtestOppose.f,28.414197887748742,1,9.79443706139449e-8,9.99000999000999e-4
Age.z,0.11433733647936606,1,0.735259162662991,0.7412587412587412
Female,2.870136910049041,1,0.09023719318827617,0.1028971028971029
PriorSupport_scale:SocialSupport.f,3.4812477747946105,2,0.17541092980336326,0.16983016983016982
PriorSupport_scale:ProtestOppose.f,9302.656200458307,1,0,9.99000999000999e-4
SocialSupport.f:ProtestOppose.f,96.56424761456947,2,0,9.99000999000999e-4
PriorSupport_scale:SocialSupport.f:ProtestOppose.f,4.758359288003703,2,0.09262653308278102,0.0939060939060939
