Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
Moral,0.16743047408272105,1,0.6824055963262372,0.6963036963036963
meta_d,0.4088790722289559,1,0.5225389929605708,0.5464535464535465
Female,0.3929751404612034,1,0.5307396727904017,0.5204795204795205
Age.z,0.08756302995789156,1,0.7672984244698828,0.7612387612387612
Moral:meta_d,8.460934750509296,1,0.0036285532911231044,0.001998001998001998
