Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
Moral,0.05498806685045565,1,0.8146004465735326,0.8061938061938062
meta_d,4.4822550717071863e-4,1,0.9831089789768882,0.985014985014985
Female,0.0013162251007088344,1,0.9710592432737912,0.974025974025974
Age.z,1.3064564288852125,1,0.25303724180312903,0.2817182817182817
Moral:meta_d,11.389664446388451,1,7.385387020747425e-4,9.99000999000999e-4
