Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
Moral,9.613527573116698,1,0.001931492642543775,0.002997002997002997
Female,0.10079033853071451,1,0.7508832505038541,0.7532467532467533
Age.z,0.6787211810001281,1,0.4100274289102358,0.43756243756243757
