Parameter,Chisq,Df,p
MC_z,0.024246676027860282,1,0.8762589012135167
meta_d,0.0346375838184796,1,0.8523571270324373
Female,0.0012177154374476019,1,0.9721628459159967
Age.z,0.46882096118134076,1,0.49353008212782673
MC_z:meta_d,0.045149399165066724,1,0.8317295527326813
