Parameter,Chisq,Df,p
MC_z,4.150173871421858,1,0.04163024894003743
MajoritySupport,15.125051535504994,2,5.195612940555164e-4
meta_d,0.005925671095283371,1,0.9386407436276093
Female,0.2556443303085246,1,0.6131284754942851
Age.z,0.05113619812856213,1,0.8210978681683221
MC_z:MajoritySupport,0.4784395658691652,2,0.787241841035569
MC_z:meta_d,0.06497234002526144,1,0.7988028664049521
MajoritySupport:meta_d,4.5647800085719785,2,0.10204003892036312
