Parameter,Chisq,Df,p
MC_z,0.8497829950660198,1,0.35661373465257146
meta_d,0.5425698378384876,1,0.4613696494039969
Female,0.038923421602846446,1,0.8436004507042126
Age.z,2.538108003924389,1,0.11112787652391949
MC_z:meta_d,0.14690928413241972,1,0.7015066291978677
