Parameter,Chisq,Df,p
MC_z,4.044479474759648,1,0.04431604349512319
MajoritySupport,46.45721769125609,2,8.164758735032696e-11
meta_d,0.1316971611755811,1,0.7166788135935327
Female,0.27685917305102736,1,0.5987672545095879
Age.z,0.9941401158263,1,0.31873259492073047
MC_z:MajoritySupport,1.2934212470547672,2,0.5237658092229834
MC_z:meta_d,2.5122073607254007,1,0.11296759854320829
MajoritySupport:meta_d,10.640993942580437,2,0.004890322771215137
