Parameter,Chisq,Df,p
MC_z,1.3707079908604982,1,0.24169027833486217
meta_d,0.06406579528875243,1,0.8001814970433291
Female,0.14873415727933548,1,0.6997479896785622
Age.z,0.024543670496576152,1,0.8755095055538313
MC_z:meta_d,0.04928153170982529,1,0.8243182110311528
