Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
Moral.f,0.12228998903447064,1,0.7265639620249646,0.7312687312687313
Agree.f,1.256411464391931,1,0.26233144601627745,0.2827172827172827
meta_d,0.0041269235025538364,1,0.9487782235530359,0.961038961038961
Female,4.750295451871352,1,0.02929326447640901,0.04095904095904096
Age.z,11.879722716857941,1,5.674838919910163e-4,9.99000999000999e-4
Moral.f:Agree.f,2.507524705166361,1,0.11330377457787011,0.115
Moral.f:meta_d,13.141664010649038,1,2.888012563029285e-4,9.99000999000999e-4
Agree.f:meta_d,1.3868251457752194,1,0.2389419890030362,0.21578421578421578
