Parameter,Chisq,Df,p
MC_z,1.7430974997767186,1,0.1867468311688354
Agree,2.8683935224323016,1,0.09033499922909234
meta_d,0.3189282625348704,1,0.5722524328290064
Female,6.103050501396403,1,0.013494873324498726
Age.z,13.955340656809891,1,1.8720506657823088e-4
MC_z:Agree,0.9923956370001006,1,0.31915756394699024
MC_z:meta_d,0.23254464361922086,1,0.6296433993095953
Agree:meta_d,3.0049002072101842,1,0.08301308899255738
